Source,Target,Type,Id,Label,timeset,Weight,background_map_edge,created_at,updated_at,deleted_at
236585,331658,Directed,209,209,,1,,2020-09-22 12:14:00.013000,2020-09-22 12:14:00.013000,
236585,219870,Directed,210,210,,1,,2020-09-18 23:23:39.052000,2020-09-18 23:23:39.052000,
236585,175869,Directed,211,211,,1,,2020-09-18 23:23:35.329000,2020-09-18 23:23:35.329000,
236585,172592,Directed,212,212,,1,,2020-09-18 23:23:34.850000,2020-09-18 23:23:34.850000,
236585,66453,Directed,213,213,,1,,2020-09-18 23:21:26.537000,2020-09-18 23:21:26.537000,
236585,323079,Directed,214,214,,2,,2020-09-10 15:34:43.051000,2020-09-10 15:34:43.051000,2020-09-10 15:36:22.518000
236585,235576,Directed,215,215,,1,,2020-09-10 15:35:42.143000,2020-09-10 15:35:42.143000,
236585,329833,Directed,217,217,,1,,2020-09-07 00:26:05.950000,2020-09-07 00:26:05.950000,
236585,327922,Directed,218,218,,1,,2020-08-11 22:18:54.587000,2020-08-11 22:18:54.587000,
236585,179577,Directed,219,219,,1,,2020-08-02 18:37:28.632000,2020-08-02 18:37:28.632000,
236585,324363,Directed,220,220,,1,,2020-08-01 10:54:56.055000,2020-08-01 10:54:56.055000,
236585,75328,Directed,221,221,,1,,2020-07-24 22:23:47.786000,2020-07-24 22:23:47.786000,
236585,157493,Directed,222,222,,1,,2020-07-20 00:22:27.337000,2020-07-20 00:22:27.337000,
236585,273001,Directed,223,223,,1,,2020-07-17 23:43:54.047000,2020-07-17 23:43:54.047000,
236585,113450,Directed,224,224,,1,,2020-07-17 22:38:59.097000,2020-07-17 22:38:59.097000,
236585,204379,Directed,225,225,,1,,2020-07-14 14:58:59.891000,2020-07-14 14:58:59.891000,
236585,32806,Directed,226,226,,1,,2020-07-11 10:56:06.979000,2020-07-11 10:56:06.979000,
236585,149101,Directed,227,227,,1,,2020-06-30 01:06:17.124000,2020-06-30 01:06:17.124000,
236585,234356,Directed,228,228,,1,,2020-06-30 01:06:13.171000,2020-06-30 01:06:13.171000,
236585,247431,Directed,231,231,,1,,2020-06-20 17:19:39.767000,2020-06-20 17:19:39.767000,
